Date,Open,High,Low,Close,Adj Close,Volume
3/01/2005,55.73,57.279999,55.73,56.580002,46.27737,6600
4/01/2005,57.529999,57.529999,55.32,55.849998,45.680298,6400
5/01/2005,55.32,55.830002,54.48,54.740002,44.772438,3200
6/01/2005,54.32,54.759998,53.880001,54.259998,44.379814,7100
7/01/2005,54.209999,54.700001,53.43,53.43,43.700954,6300
10/01/2005,53.959999,54.889999,53.889999,53.889999,44.077198,4300
11/01/2005,53.950001,54.700001,53.52,54.700001,44.739693,5300
12/01/2005,53.529999,54.34,53.450001,54.34,44.445255,5800
13/01/2005,54.02,54.5,53.189999,53.349998,43.635513,11900
14/01/2005,53.200001,54.18,53.200001,53.59,43.831825,5400
18/01/2005,53.5,54.200001,52.950001,54.200001,44.330742,25200
19/01/2005,54.25,54.419998,53.310001,53.439999,43.709137,10000
20/01/2005,53.110001,54.459999,53.110001,54.32,44.428898,6900
21/01/2005,54.5,54.5,53.23,53.799999,44.003574,3600
24/01/2005,53.32,54.029999,53.32,53.810001,44.011765,3600
25/01/2005,54.5,54.5,53.599998,53.599998,43.839996,3900
26/01/2005,53.560001,54.5,53.560001,54.459999,44.543392,1400
27/01/2005,53.48,54.450001,53.48,54.099998,44.248962,6500
28/01/2005,54.5,54.5,53.75,53.75,43.962673,3800
31/01/2005,53.310001,53.860001,53.279999,53.580002,43.823666,5600
1/02/2005,53.580002,54,53.580002,53.93,44.109909,7100
2/02/2005,54,54,53.849998,54,44.167164,3600
3/02/2005,54.5,54.5,53.66,54.25,44.371651,6300
4/02/2005,54.25,54.25,54.150002,54.25,44.371651,8500
7/02/2005,53.900002,54.25,53.900002,53.950001,44.126266,7600
8/02/2005,54.529999,54.91,53.990002,54.889999,44.895115,11200
9/02/2005,53.75,54.889999,53.75,53.82,44.221348,5000
10/02/2005,53.529999,54.59,53.529999,53.77,44.180279,4300
11/02/2005,53.529999,54.849998,53.509998,54.450001,44.738983,10200
14/02/2005,54.400002,54.709999,53.700001,54.43,44.722565,10200
15/02/2005,54.689999,54.689999,53.639999,54.09,44.443203,19200
16/02/2005,54.57,54.880001,53.990002,54.630001,44.88689,12200
17/02/2005,53.959999,54.639999,53.959999,54.200001,44.533573,10300
18/02/2005,53.849998,54.209999,53.59,53.619999,44.057003,13700
22/02/2005,54.080002,54.080002,53.169998,53.470001,43.933784,10100
23/02/2005,53.650002,53.650002,53.07,53.279999,43.777676,3400
24/02/2005,53,53.029999,52.549999,53.02,43.564018,7900
25/02/2005,52.32,53.560001,52.32,53.279999,43.777676,13100
28/02/2005,52.68,53.619999,52.68,53.619999,44.057003,17000
1/03/2005,53.150002,53.990002,53.150002,53.990002,44.361042,7300
2/03/2005,53.32,53.900002,53.32,53.5,43.958416,4200
3/03/2005,53.970001,53.970001,53.23,53.540001,43.991276,700
4/03/2005,53.540001,53.540001,53.540001,53.540001,43.991276,0
7/03/2005,54,54.25,53.080002,53.82,44.221348,15600
8/03/2005,53.650002,53.650002,52.75,52.84,43.416119,8700
9/03/2005,53.689999,53.689999,52.77,53.25,43.75301,4300
10/03/2005,52.599998,53.400002,52.599998,53.18,43.695499,6100
11/03/2005,53.18,53.490002,52.599998,52.939999,43.498299,5400
14/03/2005,53.75,53.77,52.759998,52.799999,43.383266,10100
15/03/2005,52.740002,52.740002,52.59,52.59,43.210712,300
16/03/2005,52.580002,52.919998,52.32,52.689999,43.29287,3000
17/03/2005,53.080002,53.16,52.369999,52.869999,43.440773,5200
18/03/2005,52.98,53,51.630001,52.040001,42.758808,28000
21/03/2005,52.5,52.5,51.860001,52.299999,42.972435,4200
22/03/2005,52.82,52.82,52.02,52.529999,43.161411,2700
23/03/2005,52.599998,52.950001,51.75,51.959999,42.693081,7600
24/03/2005,52.299999,52.380001,52.119999,52.189999,42.882061,4100
28/03/2005,52,52.740002,51.830002,52.720001,43.317524,4300
29/03/2005,52.16,52.93,52.16,52.759998,43.350391,3200
30/03/2005,53.049999,53.049999,52.110001,52.110001,42.816311,4400
31/03/2005,52.73,52.740002,52,52.310001,42.980663,8600
1/04/2005,52.049999,52.849998,51.830002,51.93,42.668423,5600
4/04/2005,52.139999,52.360001,51.799999,52.200001,42.890285,2000
5/04/2005,51.950001,52.380001,51.900002,52.380001,43.038174,4800
6/04/2005,52,52.32,51.799999,51.889999,42.635567,4400
7/04/2005,52.279999,52.299999,51.869999,51.91,42.651981,1500
8/04/2005,51.650002,52.029999,51.650002,51.889999,42.635567,4700
11/04/2005,51.560001,52.209999,51.5,51.860001,42.61092,5500
12/04/2005,51.5,52.169998,51.5,51.599998,42.397278,5500
13/04/2005,52.110001,52.799999,51.5,52,42.725945,12400
14/04/2005,51.549999,51.950001,51.5,51.5,42.315117,10200
15/04/2005,51.5,51.869999,51.5,51.720001,42.495892,5600
18/04/2005,52.16,52.16,51.529999,51.830002,42.586269,8600
19/04/2005,52.59,52.619999,51.509998,52,42.725945,27800
20/04/2005,52.650002,52.650002,51.5,51.580002,42.380852,14100
21/04/2005,52.150002,52.150002,51.5,51.52,42.331547,3900
22/04/2005,51.5,51.799999,50.560001,50.57,41.550976,19400
